Player,Team,Min,G,MPG,OPM,DPM,Playing
Evan Turner,por,2156,77,28,-1.9800797,0.1129259,1
Isaiah Briscoe,por,0,0,0,-1.9226485,-1.9140025,1
Jake Layman,por,234,78,3,-1.9148438,-0.4476028,1
Jusuf Nurkic,por,2190,73,30,-1.7608926,2.8158762,1
Maurice Harkless,por,2184,78,28,-0.1595473,0.6601006,1
Meyers Leonard,por,924,77,12,-1.146341,-0.1380141,1
Noah Vonleh,por,852,71,12,-2.560231,0.6009277,0
Pat Connaughton,por,234,78,3,-1.0892212,-0.9435124,1
Shabazz Napier,por,624,78,8,-0.3346474,-1.3828813,1
Zach Collins,por,624,78,8,-2.4680514,0.6346079,1
Bogdan Bogdanovic,sac,1716,78,22,-0.6866468,-0.9393168,1
Buddy Hield,sac,2184,78,28,0.0784645,-2.1286967,1
De'Aaron Fox,sac,1716,78,22,-0.8420631,-1.4670297,1
Frank Mason,sac,624,78,8,-0.2778726,-2.5631623,1
Garrett Temple,sac,1368,76,18,-1.2528923,0.1779934,1
George Hill,sac,2070,69,30,1.6758734,-0.2055249,1
Georgios Papagiannis,sac,390,78,5,-2.0325727,0.7752585,1
Harry Giles,sac,135,45,3,-2.1457605,0.4322401,0
JaKarr Sampson,sac,0,0,0,-2.625299,-0.43927127,1
Justin Jackson,sac,866,78,11,-1.7950416,-1.5567389,1
Kosta Koufos,sac,1404,78,18,-2.7482548,1.6323738,1
Malachi Richardson,sac,385,77,5,-2.0294251,-1.1859611,1
Skal Labissiere,sac,1872,78,24,-1.1834978,0.0848734,1
Vince Carter,sac,1386,77,18,-1.6531641,-0.2216749,1
Willie Cauley-Stein,sac,1716,78,22,-1.50226,1.2181382,1
Zach Randolph,sac,1848,77,24,-0.8409066,-0.5564362,1
Brandon Paul,sas,390,78,5,-1,-1.5,1
Bryn Forbes,sas,0,0,0,-1.471552,-1.9332198,1
Danny Green,sas,2028,78,26,-0.2861931,1.7633473,1
Darrun Hilliard,sas,0,0,0,-1.7239866,-0.8229906,1
Davis Bertans,sas,936,78,12,0.0038002,0.3266387,1
Dejounte Murray,sas,1050,78,13,-1.3148326,-0.6638762,1
Derrick White,sas,386,78,5,-1.7781022,-0.6205406,1
Joffrey Lauvergne,sas,1170,78,15,-1.3990643,-0.6613796,1
Kawhi Leonard,sas,2508,76,33,4.5923266,1.9027772,0
Kyle Anderson,sas,1092,78,14,-1.4888076,2.2676156,1
LaMarcus Aldridge,sas,2464,77,32,-0.3760362,0.9110607,1
Manu Ginobili,sas,1110,74,15,0.1809473,1.0732983,1
Patty Mills,sas,1672,76,22,1.8358665,-1.4955879,1
Pau Gasol,sas,1900,76,25,-0.1070814,2.1794755,1
Rudy Gay,sas,1632,68,24,-0.5896786,0.5967825,1
Tony Parker,sas,1342,61,22,-0.9180319,-1.5601757,0
Bruno Caboclo,tor,257,78,3,-2,-1,1
CJ Miles,tor,2128,76,28,0.3291242,-1.18213,1
Delon Wright,tor,1500,75,20,-0.5012769,0.2114678,1
DeMar DeRozan,tor,2660,76,35,1.8901042,-1.6274266,1
Fred VanVleet,tor,390,78,5,-1.2073519,-0.3455951,1
Jakob Poeltl,tor,1404,78,18,-1.5233129,1.5279022,1
Jonas Valanciunas,tor,2002,77,26,-0.6820278,0.975664,1
Kennedy Meeks,tor,0,0,0,-2.1017947,0.72665226,1
KJ McDaniels,tor,0,0,0,-1.6114563,-0.28474212,1
Kyle Lowry,tor,2736,76,36,4.451314,0.1095369,1
Kyle Wiltjer,tor,0,0,0,-2.2837095,-1.2002033,1
Lorenzo Brown,tor,0,0,0,-1.8046929,-0.67169702,1
Lucas Nogueira,tor,390,78,5,-1.2460885,3.4836397,1
Norman Powell,tor,2184,78,28,-0.1508703,-0.8694023,1
OG Anunoby,tor,315,63,5,-2.3106999,0.2058336,1
Pascal Siakam,tor,1404,78,18,-2.9583042,0.9447935,1
Serge Ibaka,tor,2310,77,30,-0.9824492,0.9730114,1
Alec Burks,uta,250,50,5,-1.0136552,-0.9722768,1
Dante Exum,uta,1300,65,20,-0.609838,-0.6272703,0
Derrick Favors,uta,1752,73,24,-1.1498202,1.9883647,1
Donovan Mitchell,uta,1560,78,20,-1.323983,-0.8448875,1
Ekpe Udoh,uta,936,78,12,-3.007472,1.947467,1
Joe Ingles,uta,1872,78,24,0.3305282,0.4168721,1
Joe Johnson,uta,1560,78,20,-0.3464578,-1.1434944,1
Joel Bolomboy,uta,256,78,3,-1.4168173,-0.4939022,1
Jonas Jerebko,uta,936,78,12,-1.5422914,0.2347772,1
Nate Wolters,uta,0,0,0,-0.42848134,-0.19816421,1
Raul Neto,uta,780,78,10,-0.876673,-0.4527014,1
Ricky Rubio,uta,2272,71,32,1.9701738,0.5824216,1
Rodney Hood,uta,1971,73,27,0.7202774,-0.6410485,1
Rudy Gobert,uta,2541,77,33,-0.0117431,4.944653,1
Thabo Sefolosha,uta,1460,73,20,-2.2468426,1.9424682,1
Tony Bradley,uta,234,78,3,-2.0040603,-0.583974,1
Bradley Beal,was,2590,74,35,3.0003972,-1.4685349,1
Chris McCullough,was,0,0,0,-1.0728173,1.4317495,1
Devin Robinson,was,0,0,0,-2.6873717,-0.29276559,0
Donald Sloan,was,0,0,0,-0.49456728,-1.5629789,1
Ian Mahinmi,was,1608,67,24,-2.5029857,2.7950397,1
Jason Smith,was,1170,78,15,-2.4912317,0.6548649,1
Jodie Meeks,was,700,50,14,-0.6223416,-1.3440127,1
John Wall,was,2808,78,36,3.1773462,0.0262425,1
Kelly Oubre Jr.,was,1560,78,20,-1.0254762,-0.590722,1
Marcin Gortat,was,2184,78,28,-1.7284951,1.3456697,1
Markieff Morris,was,2108,68,31,-1.0739514,1.3287562,0
Mike Scott,was,662,76,9,-1.5353382,-0.2725039,1
Otto Porter Jr.,was,2496,78,32,2.1438594,0.8090562,1
Sheldon McClellan,was,0,0,0,-1.459017,-0.60327774,1
Tim Frazier,was,1170,78,15,-0.3551936,-1.398261,1
Tomas Satoransky,was,624,78,8,-1.6788999,0.2271248,1
