Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Goran Dragic,PG,31,MIA,28,880,16.5,.545,.299,.273,2.5,12.3,7.4,24.6,1.4,0.4,13.4,25.8,1.0,0.7,1.7,.094,0.8,-1.0,-0.1,0.4
Andre Drummond,C,24,DET,29,959,22.7,.565,.007,.515,16.4,35.8,25.7,18.2,2.3,3.3,19.8,20.5,1.8,2.0,3.8,.189,0.8,5.7,6.5,2.1
Jared Dudley,PF,32,PHO,12,183,12.8,.609,.649,.297,2.8,15.2,8.9,19.4,1.8,0.8,14.3,11.1,0.4,0.1,0.5,.119,1.1,-0.7,0.4,0.1
Kris Dunn,PG,23,CHI,24,676,14.4,.482,.182,.149,2.6,16.0,9.0,31.9,3.5,0.9,17.9,25.6,-0.7,0.9,0.3,.018,-1.6,1.8,0.2,0.4
Kevin Durant,SF,29,GSW,24,827,25.1,.633,.326,.256,2.1,19.0,11.4,24.5,1.0,4.9,14.8,30.6,2.2,1.2,3.5,.201,3.9,1.2,5.1,1.5
Henry Ellenson,PF,21,DET,11,94,11.8,.506,.435,.022,2.3,28.5,14.9,10.6,1.6,0.0,14.7,25.4,-0.1,0.1,0.0,.016,-4.0,-1.3,-5.3,-0.1
Wayne Ellington,SG,30,MIA,28,585,15.8,.649,.892,.093,1.4,9.7,5.6,7.1,1.6,0.3,5.2,16.6,1.4,0.5,1.8,.150,4.0,-1.8,2.2,0.6
Joel Embiid,C,23,PHI,23,723,24.1,.582,.156,.490,8.2,28.3,18.5,20.0,1.0,5.1,16.2,32.9,1.3,1.2,2.5,.165,1.0,2.5,3.6,1.0
James Ennis,SF,27,MEM,27,669,11.6,.622,.406,.308,5.6,11.4,8.5,6.8,1.4,0.7,13.2,12.1,1.0,0.4,1.4,.102,0.0,-0.1,-0.1,0.3
Tyler Ennis,PG,23,LAL,12,66,9.3,.421,.227,.182,1.6,12.8,7.2,19.0,2.8,1.2,14.4,17.5,-0.1,0.1,0.0,.023,-5.1,0.4,-4.7,0.0
Jawun Evans,PG,21,LAC,20,298,8.6,.440,.231,.260,0.7,11.7,6.1,16.7,2.7,0.9,13.4,19.6,-0.3,0.3,0.0,.000,-4.2,-0.6,-4.8,-0.2
Tyreke Evans,SG,28,MEM,28,835,21.5,.580,.334,.234,3.4,16.0,9.6,26.3,1.6,1.3,11.1,27.6,1.8,0.8,2.5,.145,4.1,-0.5,3.6,1.2
Kenneth Faried,PF,28,DEN,25,399,18.8,.589,.008,.372,15.4,21.5,18.4,6.4,1.0,2.6,12.4,17.3,1.0,0.3,1.3,.157,0.1,-0.8,-0.7,0.1
Derrick Favors,PF,26,UTA,29,792,18.6,.591,.072,.285,9.4,18.3,13.8,9.7,1.3,3.1,12.2,19.2,1.6,1.1,2.7,.163,0.3,2.0,2.2,0.8
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Kay Felder,PG,22,CHI,14,134,4.0,.386,.273,.182,0.8,10.8,5.6,23.9,1.1,0.7,17.4,28.4,-0.5,0.1,-0.4,-0.161,-7.9,-2.9,-10.8,-0.3
Cristiano Felicio,C,25,CHI,21,310,10.6,.628,.000,.379,7.9,13.3,10.5,6.4,0.6,1.1,18.1,11.8,0.4,0.2,0.5,.083,-2.8,-0.1,-2.9,-0.1
Raymond Felton,PG,33,OKC,28,470,13.6,.495,.339,.089,1.6,10.3,5.7,24.5,1.9,0.6,9.7,19.1,0.5,0.6,1.1,.108,-1.1,-1.5,-2.6,-0.1
Terrance Ferguson,SG,19,OKC,18,128,3.5,.448,.519,.074,2.5,3.7,3.1,1.1,1.6,0.7,9.7,10.4,-0.1,0.1,0.1,.022,-4.7,-1.2,-5.9,-0.1
Yogi Ferrell,SG,24,DAL,29,817,10.2,.551,.470,.222,1.0,10.6,5.7,11.7,1.4,0.3,12.8,16.1,0.4,0.6,1.0,.056,-1.2,0.0,-1.2,0.2
Dorian Finney-Smith,PF,24,DAL,8,94,5.5,.568,.636,.091,5.6,6.1,5.8,8.1,0.0,1.0,23.4,14.4,0.0,0.0,0.0,.001,-2.9,-1.6,-4.4,-0.1
Bryn Forbes,SG,24,SAS,29,537,9.8,.539,.503,.114,1.5,6.9,4.2,8.0,0.9,0.3,7.1,16.5,0.4,0.4,0.8,.075,-0.4,-2.2,-2.6,-0.1
Evan Fournier,SF,25,ORL,26,845,17.0,.597,.390,.223,1.8,9.0,5.4,15.1,1.6,0.6,11.1,23.2,1.5,0.4,1.9,.105,2.3,-1.8,0.5,0.5
De'Aaron Fox,PG,20,SAC,28,718,9.7,.455,.140,.213,2.0,11.2,6.4,23.8,1.8,0.9,17.7,22.7,-1.0,0.3,-0.7,-0.045,-4.1,-1.3,-5.4,-0.6
Tim Frazier,PG,27,WAS,29,496,10.7,.500,.340,.160,2.0,13.0,7.5,29.0,2.5,0.5,26.2,12.9,0.1,0.7,0.8,.075,-2.2,0.7,-1.5,0.1
Channing Frye,C,34,CLE,27,344,11.9,.591,.505,.074,2.1,18.7,10.7,7.5,1.3,1.5,9.3,14.0,0.4,0.3,0.7,.095,-0.8,-0.9,-1.7,0.0
Markelle Fultz,SG,19,PHI,4,76,3.8,.372,.000,.444,4.3,8.1,6.3,13.0,1.3,1.1,15.7,21.1,-0.2,0.1,-0.1,-0.090,-8.3,-1.5,-9.8,-0.1
Danilo Gallinari,SF,29,LAC,11,349,10.7,.475,.446,.259,0.6,14.9,7.6,12.8,1.1,0.5,9.4,21.4,0.0,0.2,0.2,.025,-1.9,-2.0,-4.0,-0.2
Langston Galloway,SG,26,DET,27,382,15.7,.584,.707,.100,1.4,13.1,7.0,8.2,1.6,0.7,4.9,18.9,0.8,0.4,1.1,.144,2.1,-1.5,0.6,0.2
Marc Gasol,C,33,MEM,29,1015,17.2,.526,.273,.349,4.3,24.6,14.4,21.1,0.9,3.8,15.1,27.8,0.2,1.2,1.4,.068,-0.8,1.7,0.9,0.7
Pau Gasol,C,37,SAS,28,698,19.5,.572,.241,.280,6.2,28.4,17.3,18.4,0.7,4.2,13.0,19.2,1.4,1.2,2.6,.177,0.6,3.0,3.6,1.0
Rudy Gay,SF,31,SAS,27,631,19.7,.571,.218,.310,7.1,20.1,13.5,12.5,2.0,2.4,13.4,24.3,0.9,1.1,2.0,.153,0.7,1.1,1.8,0.6
Paul George,SF,27,OKC,26,966,16.8,.538,.433,.232,2.3,15.1,8.4,14.6,3.3,1.4,13.0,25.5,0.7,1.8,2.5,.124,0.9,1.1,2.0,1.0
Marcus Georges-Hunt,SG,23,MIN,10,32,8.4,.643,.429,.000,3.6,3.7,3.6,8.9,1.6,0.0,22.2,12.4,0.0,0.0,0.0,.038,-0.8,-2.8,-3.6,0.0
Taj Gibson,PF,32,MIN,29,961,15.2,.591,.084,.310,9.7,19.6,14.6,6.6,1.4,1.7,12.6,14.3,1.8,0.7,2.5,.123,0.9,0.6,1.5,0.8
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Manu Ginobili,SG,40,SAS,24,496,9.7,.518,.442,.291,1.6,9.9,5.7,17.3,1.4,0.9,19.1,20.8,-0.2,0.6,0.4,.037,-2.0,-1.2,-3.2,-0.2
Rudy Gobert,C,25,UTA,18,539,19.1,.638,.000,.646,9.9,27.2,18.4,6.1,0.9,6.7,17.7,16.6,1.0,1.0,2.0,.178,-1.6,4.1,2.5,0.6
Aaron Gordon,PF,22,ORL,26,866,19.9,.608,.416,.331,4.8,21.3,13.1,10.4,1.4,1.9,9.5,21.7,1.9,0.8,2.7,.151,2.5,0.0,2.6,1.0
Eric Gordon,SG,29,HOU,25,783,14.6,.570,.654,.327,0.7,6.4,3.6,11.2,1.0,1.0,11.8,25.7,1.0,0.6,1.6,.100,0.8,-3.0,-2.2,0.0
Marcin Gortat,C,33,WAS,29,825,15.2,.560,.000,.322,8.3,24.8,16.5,11.2,1.2,2.1,14.4,14.8,1.1,1.2,2.3,.132,-1.2,2.7,1.5,0.7
Treveon Graham,SG,24,CHO,18,309,10.7,.567,.423,.211,4.8,8.7,6.7,11.5,1.6,0.3,11.4,12.3,0.4,0.3,0.7,.105,-0.1,0.3,0.2,0.2
Jerami Grant,PF,23,OKC,27,575,14.7,.575,.268,.451,6.2,14.2,10.0,6.2,1.6,4.0,11.6,15.6,0.8,0.9,1.7,.143,-1.4,1.6,0.1,0.3
Jerian Grant,PG,25,CHI,28,659,15.2,.534,.352,.373,2.3,9.7,5.8,32.8,1.9,0.3,14.8,17.7,1.0,0.5,1.4,.105,0.2,-1.5,-1.3,0.1
Danny Green,SG,30,SAS,27,753,11.4,.511,.550,.065,2.1,13.5,7.8,10.3,2.0,3.6,14.7,16.6,-0.2,1.2,1.0,.066,-1.2,2.3,1.0,0.6
Draymond Green,PF,27,GSW,25,805,16.6,.571,.472,.326,4.0,19.5,12.5,28.2,2.3,3.6,23.6,15.6,1.3,1.4,2.7,.162,1.3,3.2,4.5,1.3
JaMychal Green,PF,27,MEM,17,480,11.8,.558,.295,.216,7.3,19.6,13.4,7.7,0.9,0.6,15.1,17.3,0.3,0.4,0.6,.062,-1.7,-0.7,-2.4,0.0
Jeff Green,PF,31,CLE,29,635,16.7,.593,.227,.342,4.8,13.4,9.3,10.1,1.6,1.0,10.1,20.2,1.3,0.4,1.7,.132,0.4,-1.5,-1.1,0.2
Blake Griffin,PF,28,LAC,19,680,20.5,.542,.329,.388,4.0,20.7,12.2,25.0,1.3,0.8,12.1,30.2,1.2,0.5,1.7,.122,3.0,-0.6,2.4,0.7
Daniel Hamilton,SG,22,OKC,1,4,-10.5,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,-0.238,-14.3,-2.9,-17.2,0.0
Tim Hardaway,SG,25,NYK,21,716,15.7,.534,.479,.237,2.8,11.1,7.0,15.0,1.7,0.7,9.3,23.6,1.0,0.6,1.6,.106,2.6,-1.0,1.6,0.6
James Harden,SG,28,HOU,27,962,30.9,.626,.513,.441,1.8,14.4,8.2,47.0,2.5,1.1,14.7,35.9,5.1,1.4,6.5,.324,10.4,0.7,11.1,3.2
Maurice Harkless,SF,24,POR,25,560,8.6,.486,.333,.205,3.8,11.3,7.6,4.4,1.7,3.1,13.0,11.5,0.0,0.8,0.8,.068,-2.9,2.7,-0.2,0.3
Montrezl Harrell,C,24,LAC,21,239,25.0,.668,.000,.395,11.7,19.4,15.4,10.3,1.5,3.3,9.5,19.2,0.9,0.2,1.2,.236,2.6,0.3,2.9,0.3
Devin Harris,PG,34,DAL,23,439,14.4,.543,.395,.408,1.9,9.6,5.6,18.4,2.7,0.8,12.3,21.8,0.4,0.5,0.9,.101,0.0,0.0,-0.1,0.2
Gary Harris,SG,23,DEN,27,916,16.7,.589,.461,.138,2.5,7.5,4.9,14.3,2.8,0.8,11.7,19.6,1.6,0.7,2.4,.124,2.9,-1.0,1.9,0.9
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Joe Harris,SG,26,BRK,26,626,11.2,.583,.686,.130,1.8,10.4,6.1,7.8,1.1,0.7,10.3,16.3,0.6,0.3,0.9,.072,0.5,-1.1,-0.6,0.2
Tobias Harris,PF,25,DET,29,957,17.3,.579,.421,.143,3.2,15.9,9.3,8.1,1.0,0.5,5.7,21.7,2.1,0.9,3.0,.149,2.2,-1.1,1.1,0.7
Andrew Harrison,PG,23,MEM,23,433,12.9,.548,.390,.358,2.7,9.6,6.1,19.8,2.0,1.7,16.4,18.3,0.3,0.4,0.7,.078,-1.0,-0.5,-1.5,0.1
Josh Hart,SG,22,LAL,22,325,9.1,.541,.446,.246,2.6,15.6,9.1,4.5,1.9,1.2,12.2,10.5,0.1,0.4,0.5,.078,-3.2,0.8,-2.3,0.0
Udonis Haslem,C,37,MIA,3,10,15.0,1.000,.000,.000,0.0,11.4,5.7,29.7,0.0,0.0,0.0,4.6,0.0,0.0,0.0,.229,0.7,-3.9,-3.3,0.0
Gordon Hayward,SF,27,BOS,1,5,7.6,.500,.500,.000,0.0,21.5,11.0,0.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,.058,-5.5,-6.0,-11.6,0.0
John Henson,C,27,MIL,26,610,15.6,.578,.014,.374,9.1,24.7,16.9,8.3,1.1,6.1,16.2,15.4,0.6,0.8,1.4,.110,-2.1,2.1,0.0,0.3
Juan Hernangomez,PF,22,DEN,15,204,9.5,.509,.686,.176,7.5,14.6,11.0,5.3,1.0,0.8,9.8,12.8,0.2,0.1,0.3,.068,-0.6,-2.1,-2.7,0.0
Willy Hernangomez,C,23,NYK,14,153,16.9,.555,.066,.246,14.6,23.3,19.1,14.0,1.6,3.7,21.9,24.7,0.0,0.2,0.2,.059,-1.3,1.9,0.6,0.1
Mario Hezonja,SF,22,ORL,23,284,8.7,.517,.468,.156,3.8,16.1,10.0,8.9,1.5,1.4,17.9,15.4,-0.1,0.2,0.1,.018,-3.3,-0.2,-3.4,-0.1
Buddy Hield,SG,24,SAC,26,600,16.6,.566,.411,.091,3.1,16.0,9.3,11.7,2.4,0.6,12.5,24.5,0.4,0.4,0.8,.065,1.0,-1.6,-0.6,0.2
Nene Hilario,C,35,HOU,20,285,18.5,.678,.023,.535,6.4,18.4,12.5,11.1,1.9,1.8,16.5,19.4,0.8,0.4,1.2,.201,-0.2,1.0,0.8,0.2
George Hill,PG,31,SAC,25,644,13.7,.577,.351,.239,1.9,12.1,6.8,14.9,1.8,0.9,13.7,16.8,0.7,0.3,1.0,.074,-0.1,-0.9,-1.0,0.2
Darrun Hilliard,SG,24,SAS,4,39,-2.3,.190,.286,.286,0.0,8.6,4.3,13.3,2.6,0.0,27.6,12.5,-0.2,0.1,-0.1,-0.127,-9.5,0.5,-9.0,-0.1
Jrue Holiday,PG,27,NOP,30,1111,15.9,.567,.335,.163,1.8,11.2,6.7,22.7,1.7,1.0,14.6,22.1,1.4,0.6,2.0,.085,0.9,-0.8,0.1,0.6
Justin Holiday,SG,28,CHI,27,910,11.5,.491,.548,.204,1.8,13.1,7.2,10.0,1.9,1.6,8.3,19.8,-0.1,0.8,0.8,.040,-0.9,0.2,-0.7,0.3
John Holland,SF,29,CLE,4,17,-1.2,.375,.500,.000,0.0,12.8,6.7,0.0,0.0,0.0,20.0,13.1,0.0,0.0,0.0,-0.135,-9.1,-5.1,-14.1,-0.1
Rondae Hollis-Jefferson,SF,23,BRK,25,693,18.8,.583,.081,.481,5.4,16.8,11.1,10.8,1.6,2.2,10.5,21.3,1.4,0.7,2.1,.145,-0.2,1.0,0.8,0.5
Richaun Holmes,C,24,PHI,14,218,17.8,.601,.216,.257,9.5,22.7,16.3,8.6,1.1,2.3,7.8,17.2,0.5,0.3,0.8,.177,0.3,0.0,0.3,0.1
Rodney Hood,SG,25,UTA,20,565,15.5,.556,.474,.192,1.2,9.9,5.5,11.3,1.2,0.8,10.5,28.2,0.4,0.5,0.9,.079,0.8,-2.6,-1.8,0.0
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Al Horford,C,31,BOS,28,916,20.4,.628,.332,.176,4.4,21.7,13.3,27.0,0.9,2.6,15.0,18.3,2.4,1.6,4.0,.209,2.9,2.9,5.8,1.8
Danuel House,SG,24,PHO,2,31,-1.3,.291,.500,.333,0.0,6.9,3.4,4.1,0.0,0.0,12.7,10.6,-0.1,0.0,-0.1,-0.119,-7.1,-3.2,-10.4,-0.1
Dwight Howard,C,32,CHO,28,843,18.3,.561,.003,.722,12.5,32.2,22.2,6.6,0.8,3.8,19.4,25.9,0.1,1.4,1.5,.083,-3.5,1.4,-2.0,0.0
Josh Huestis,PF,26,OKC,22,257,6.4,.499,.702,.123,3.8,12.9,8.1,3.9,1.4,3.7,17.8,12.3,-0.1,0.4,0.2,.043,-4.1,1.0,-3.2,-0.1
Vince Hunter,PF,23,MEM,2,5,34.7,1.000,.000,.000,23.5,23.8,23.7,0.0,0.0,0.0,33.3,27.8,0.0,0.0,0.0,.136,1.7,-9.6,-7.8,0.0
Serge Ibaka,PF,28,TOR,25,694,16.2,.606,.421,.139,3.4,20.6,12.2,3.7,0.6,4.2,8.7,19.6,1.1,0.9,2.0,.140,0.4,0.4,0.7,0.5
Andre Iguodala,SF,34,GSW,25,666,10.8,.529,.381,.302,4.5,11.6,8.4,14.7,1.2,1.8,14.9,11.0,0.8,0.7,1.4,.104,0.0,0.6,0.6,0.4
Ersan Ilyasova,PF,30,ATL,18,416,15.7,.558,.455,.147,7.1,15.6,11.3,8.2,2.5,1.3,7.3,17.5,0.6,0.3,1.0,.110,1.2,-0.3,0.9,0.3
Joe Ingles,SF,30,UTA,29,874,13.6,.617,.692,.075,0.9,15.1,7.9,20.1,1.8,0.5,17.3,15.5,1.2,1.1,2.2,.123,1.8,0.7,2.5,1.0
Brandon Ingram,SF,20,LAL,27,928,12.5,.518,.128,.392,3.3,13.9,8.6,13.6,1.2,1.7,14.2,22.1,0.1,1.0,1.1,.055,-2.6,0.3,-2.3,-0.1
Kyrie Irving,PG,25,BOS,29,933,25.6,.606,.331,.264,1.7,8.4,5.1,30.3,2.1,0.9,10.2,31.2,3.2,1.3,4.5,.233,6.7,-0.8,5.9,1.9
Jonathan Isaac,PF,20,ORL,12,239,12.3,.543,.279,.230,5.0,19.1,12.1,5.9,1.6,4.8,15.2,14.4,0.1,0.3,0.3,.070,-3.2,2.2,-1.0,0.1
Wesley Iwundu,SF,23,ORL,12,135,2.2,.331,.158,.079,2.4,11.3,6.9,8.0,0.7,0.0,9.2,14.0,-0.3,0.0,-0.2,-0.088,-7.3,-1.8,-9.1,-0.2
Jarrett Jack,PG,34,NYK,26,676,10.7,.473,.188,.127,1.4,13.0,7.4,31.5,0.9,0.1,20.9,14.2,0.3,0.4,0.7,.051,-1.8,-1.0,-2.8,-0.1
Demetrius Jackson,PG,23,HOU,12,63,-0.6,.286,.429,.000,7.3,12.4,9.9,10.4,3.1,1.3,41.7,16.5,-0.3,0.1,-0.2,-0.152,-9.6,2.4,-7.2,-0.1
Josh Jackson,SF,20,PHO,30,666,6.7,.436,.281,.341,4.0,12.7,8.3,7.4,2.3,0.7,16.1,22.9,-1.4,0.4,-1.1,-0.077,-5.0,-1.5,-6.5,-0.8
Justin Jackson,SF,22,SAC,19,356,6.5,.466,.445,.084,2.8,8.1,5.3,4.7,0.4,0.8,9.5,17.2,-0.3,0.0,-0.3,-0.040,-3.6,-3.4,-7.0,-0.5
Reggie Jackson,PG,27,DET,29,797,17.5,.554,.300,.247,3.0,8.5,5.6,31.0,1.3,0.3,15.3,26.0,1.3,0.6,1.9,.116,1.9,-1.7,0.2,0.4
LeBron James,PF,33,CLE,29,1081,31.5,.659,.260,.311,3.9,20.8,12.7,44.9,1.9,2.7,16.2,30.4,5.2,1.2,6.4,.284,9.2,2.1,11.2,3.6
Mike James,PG,27,PHO,30,648,14.8,.479,.308,.278,1.9,12.2,7.0,28.1,2.0,0.8,12.6,25.0,0.1,0.3,0.4,.032,-0.1,-1.9,-1.9,0.0
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Al Jefferson,C,33,IND,10,139,21.8,.578,.018,.211,9.0,28.2,18.8,12.4,1.8,4.2,11.4,22.2,0.3,0.2,0.5,.175,-0.7,1.8,1.1,0.1
Richard Jefferson,SF,37,DEN,8,56,4.7,.362,.385,.385,0.0,6.1,3.0,16.5,0.0,0.0,0.0,11.7,0.0,0.0,0.0,.001,-4.2,-4.8,-9.0,-0.1
Jonas Jerebko,PF,30,UTA,24,414,15.6,.641,.479,.126,5.7,19.8,12.6,7.2,1.3,0.8,7.4,14.8,1.0,0.5,1.5,.176,1.6,-0.1,1.5,0.4
Amir Johnson,C,30,PHI,26,397,13.8,.521,.143,.341,13.5,21.5,17.6,12.4,2.2,4.0,19.9,13.8,0.3,0.7,1.0,.118,-1.5,3.6,2.1,0.4
Brice Johnson,PF,23,LAC,8,34,18.0,.643,.100,.200,3.2,33.2,17.8,4.8,7.3,2.5,26.9,19.1,0.0,0.1,0.1,.120,-4.3,4.9,0.6,0.0
Dakari Johnson,C,22,OKC,12,77,14.8,.514,.000,.571,11.2,7.7,9.5,10.0,2.0,5.0,7.1,15.9,0.1,0.1,0.3,.162,-1.6,1.9,0.3,0.0
James Johnson,PF,30,MIA,27,764,15.4,.575,.297,.302,3.5,17.7,10.7,24.2,1.8,2.4,20.3,19.7,0.7,1.0,1.7,.105,-0.3,2.1,1.8,0.7
Joe Johnson,SF,36,UTA,8,149,7.0,.444,.347,.184,3.0,14.1,8.5,11.3,1.3,1.2,18.5,19.7,-0.3,0.2,-0.1,-0.034,-5.4,-0.1,-5.5,-0.1
Stanley Johnson,SF,21,DET,26,721,7.3,.458,.481,.195,1.5,13.3,7.2,7.2,2.2,0.6,10.3,13.6,-0.2,0.8,0.6,.040,-2.7,1.4,-1.3,0.1
Tyler Johnson,PG,25,MIA,26,712,12.7,.559,.506,.209,1.6,11.5,6.6,11.1,1.1,2.5,11.4,18.5,0.6,0.6,1.2,.084,-0.4,0.1,-0.3,0.3
Wesley Johnson,SF,30,LAC,27,673,9.7,.501,.477,.178,1.9,13.7,7.7,6.3,2.1,3.9,13.0,14.0,-0.1,0.7,0.6,.042,-2.4,1.9,-0.5,0.3
Nikola Jokic,C,22,DEN,22,640,24.8,.604,.280,.232,9.9,31.4,20.4,24.8,2.2,1.8,14.4,22.0,2.1,0.9,2.9,.221,4.5,2.3,6.8,1.4
Derrick Jones,SF,20,PHO,6,33,18.6,.678,.500,1.500,6.3,6.5,6.4,12.0,1.4,9.4,13.1,9.7,0.1,0.0,0.1,.176,0.9,3.2,4.1,0.1
Jalen Jones,SF,24,NOP,4,19,5.2,.512,.250,.500,0.0,17.0,8.8,0.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0,.042,-6.0,-5.3,-11.2,0.0
Tyus Jones,PG,21,MIN,29,496,13.3,.567,.389,.289,1.4,11.1,6.2,20.8,3.1,0.4,15.1,10.6,0.8,0.4,1.2,.114,0.5,0.0,0.5,0.3
DeAndre Jordan,C,29,LAC,27,883,19.4,.654,.000,.396,16.0,33.9,24.7,5.5,0.9,3.0,18.4,13.7,2.0,1.1,3.1,.169,0.2,1.4,1.5,0.8
Cory Joseph,PG,26,IND,29,712,11.3,.518,.374,.159,1.0,10.2,5.7,15.9,2.1,0.7,12.6,14.7,0.5,0.5,1.0,.070,-0.9,-0.2,-1.1,0.2
Frank Kaminsky,PF,24,CHO,25,567,12.9,.513,.365,.222,2.2,15.8,8.9,10.4,0.8,0.8,7.0,20.7,0.4,0.5,0.9,.073,-1.0,-0.9,-1.9,0.0
Enes Kanter,C,25,NYK,25,647,23.3,.641,.004,.223,16.2,29.0,22.7,8.8,1.2,1.4,14.1,20.6,2.0,0.8,2.8,.211,2.8,0.5,3.3,0.9
Luke Kennard,SG,21,DET,24,397,10.5,.516,.437,.126,1.6,10.0,5.6,11.4,1.9,0.7,13.9,18.3,0.0,0.4,0.4,.045,-2.2,-0.4,-2.6,-0.1
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Michael Kidd-Gilchrist,SF,24,CHO,22,589,14.0,.545,.005,.226,4.3,14.6,9.4,5.8,1.4,2.3,6.0,16.0,0.7,0.7,1.4,.112,-1.8,1.5,-0.3,0.2
Sean Kilpatrick,SG,28,BRK,16,183,5.4,.419,.488,.221,0.6,19.5,10.0,12.3,0.5,0.4,14.5,25.3,-0.5,0.1,-0.4,-0.095,-6.5,-2.6,-9.1,-0.3
Maxi Kleber,PF,26,DAL,23,415,12.6,.611,.376,.226,6.4,14.3,10.2,4.1,0.6,2.4,7.3,12.1,0.7,0.3,1.0,.121,-0.8,0.5,-0.3,0.2
Furkan Korkmaz,SG,20,PHI,6,32,4.4,.349,.667,.167,6.8,12.9,9.9,8.5,1.5,0.0,7.2,18.2,0.0,0.0,0.0,-0.026,-4.2,-2.5,-6.7,0.0
Kyle Korver,SG,36,CLE,29,652,15.4,.679,.801,.171,0.5,9.4,5.1,6.6,1.0,1.6,8.5,16.9,1.5,0.3,1.8,.132,3.5,-2.6,0.9,0.5
Kosta Koufos,C,28,SAC,28,512,15.3,.540,.000,.354,10.6,27.2,18.6,9.7,1.4,2.8,12.1,13.1,0.7,0.5,1.1,.106,-2.0,1.6,-0.4,0.2
Kyle Kuzma,PF,22,LAL,26,791,15.4,.579,.342,.196,5.7,17.4,11.5,7.8,0.5,0.6,11.8,21.8,1.0,0.7,1.7,.103,0.1,-1.7,-1.6,0.1
Mindaugas Kuzminskas,SF,28,NYK,1,2,-41.8,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.7,0.0,0.0,0.0,-1.030,-36.5,-12.2,-48.7,0.0
Skal Labissiere,PF,21,SAC,26,434,13.8,.495,.051,.243,8.9,19.1,13.8,7.3,1.3,3.5,12.9,23.3,-0.1,0.3,0.2,.023,-4.1,-0.7,-4.8,-0.3
Jeremy Lamb,SG,25,CHO,27,730,16.6,.542,.305,.274,1.9,16.8,9.3,17.5,1.3,1.4,10.7,23.9,0.8,0.8,1.6,.107,0.5,0.3,0.9,0.5
Shane Larkin,PG,25,BOS,22,242,11.7,.483,.405,.228,1.4,9.3,5.5,16.9,2.3,0.3,5.4,17.0,0.2,0.4,0.6,.114,-1.3,-0.3,-1.6,0.0
Joffrey Lauvergne,C,26,SAS,15,168,15.4,.522,.053,.246,13.9,20.7,17.3,10.5,1.5,0.0,13.7,19.5,0.2,0.2,0.4,.116,-1.1,-0.5,-1.6,0.0
Jake Layman,SF,23,POR,13,83,5.8,.381,.393,.071,2.7,10.6,6.7,3.6,1.8,2.0,3.3,15.8,-0.1,0.1,0.0,.012,-5.0,-0.2,-5.2,-0.1
T.J. Leaf,PF,20,IND,25,242,10.7,.532,.311,.095,8.0,11.7,9.9,2.9,1.0,0.7,7.2,15.1,0.2,0.1,0.4,.072,-1.3,-2.6,-3.9,-0.1
Courtney Lee,SG,32,NYK,28,907,15.2,.590,.338,.160,1.7,10.6,6.2,12.6,2.1,0.3,9.8,16.8,1.7,0.8,2.4,.130,2.2,0.1,2.3,1.0
Alex Len,C,24,PHO,25,546,19.3,.599,.000,.633,14.4,28.2,21.2,6.5,0.6,4.0,14.9,16.9,1.2,0.5,1.7,.151,-0.5,0.4,-0.1,0.3
Kawhi Leonard,SF,26,SAS,2,33,33.5,.583,.286,.048,6.7,27.2,16.9,13.1,4.6,7.8,8.5,31.8,0.1,0.1,0.2,.226,3.1,4.7,7.8,0.1
Meyers Leonard,PF,25,POR,11,129,20.0,.690,.289,.178,4.4,22.9,13.8,8.1,0.8,0.0,5.8,17.5,0.5,0.2,0.6,.239,2.4,-1.3,1.1,0.1
